'6284d00,Flebles,8 minutes ago,update favorites'
'eb95af8,Flebles,21 minutes ago,updated the shopping cart and added checkout'
'0bf1cda,Flebles,76 minutes ago,update navbar and add footer'
'1ecebd2,Flebles,77 minutes ago,update detail page layout'
'8a1bae7,Flebles,4 days ago,create prototype webshop'
'191dd1c,Flebles,2 weeks ago,new vs project creation'
'7b3ca64,Fleble,2 weeks ago,Initial commit'
